Index_Name,ObjectID,NumOID,ImportID,ContainerID,Num_ContainerID,State Type,Functional,Expression,Engineer,Table_Name,Spatial_Index,Spatial_Layer_Type,Geodetic_Index,Number_Of_Dimensions
"Activity_PK",877B61CA-0A22-F080-1AA3-7ED7B73F15DE,116,,20058712-A8C5-7441-6887-2EDD4F04ABF2,70,Primary Constraint,,N,Y,"Activity",N,,,,
"Role_PK",1E5258DF-87F8-8578-E8D0-803DEB969004,117,,351409CE-4435-1D63-CB79-8A384A3A4F20,78,Primary Constraint,,N,Y,"Role",N,,,,
"Staff_PK",BA8CA4E9-0284-EC53-E03F-22A9889A7772,118,,5B40D33A-33F4-B0BC-020F-34C3369FC245,79,Primary Constraint,,N,Y,"Staff",N,,,,
"Staff_Role_FK",8D13C22F-61A4-429A-720F-67BBDEA97C21,119,,5B40D33A-33F4-B0BC-020F-34C3369FC245,79,Foreign Key,,N,Y,"Staff",N,,,,
"Packages_PK",DAF8209D-F547-F582-E0C7-3C1F00615BC7,120,,78738502-EB23-35BC-D723-F05047915B97,77,Primary Constraint,,N,Y,"Packages",N,,,,
"Customer_PK",79F26377-0C34-61E7-AD2E-A06816EE1262,121,,A64F1BE2-BA7F-A712-AFB4-5CA123A77F91,71,Primary Constraint,,N,Y,"Customer",N,,,,
"Destination_Package_PK",6B627726-8857-EB23-2EC1-75AAD0102C80,122,,B10D0E95-8520-1810-7982-09E19B4FC946,74,Primary Constraint,,N,Y,"Destination",N,,,,
"Destination_Packages_FK",15983157-22B8-42D4-43A6-A55DFB925B58,123,,B10D0E95-8520-1810-7982-09E19B4FC946,74,Foreign Key,,N,Y,"Destination",N,,,,
"Itenary_PK",B56F654F-38DE-E24F-3BE9-4DB0CE2F62F4,124,,D54A94E8-0830-3905-3268-1ECC14773FD6,75,Primary Constraint,,N,Y,"Itinerary",N,,,,
"Itinerary_Packages_FK",7B399BC9-398C-8A09-396E-377209497981,125,,D54A94E8-0830-3905-3268-1ECC14773FD6,75,Foreign Key,,N,Y,"Itinerary",N,,,,
"Package_Guide_PK",857D874F-F52B-A590-CAAA-6703346C1F41,126,,DA3F0025-662B-1C52-8434-4E8CAA99BDDB,76,Primary Constraint,,N,Y,"Package_Guide",N,,,,
"Package_Guide_Packages_FK",0F485EB7-950D-CA82-7E4D-C617739A547B,127,,DA3F0025-662B-1C52-8434-4E8CAA99BDDB,76,Foreign Key,,N,Y,"Package_Guide",N,,,,
"Package_Guide_Staff_FK",40F59AC7-8985-B54A-2646-7599802022CB,128,,DA3F0025-662B-1C52-8434-4E8CAA99BDDB,76,Foreign Key,,N,Y,"Package_Guide",N,,,,
"Day_Activities_PK",DA99A305-998D-EA35-F4CB-140757B15D92,129,,DDE31130-F780-4FDC-0EC9-19709E82D46B,73,Primary Constraint,,N,Y,"Day_Activities",N,,,,
"Day_Activities_Itinerary_FK",E217BF7D-C3BE-2EB8-45AA-645BE8E1AC2B,130,,DDE31130-F780-4FDC-0EC9-19709E82D46B,73,Foreign Key,,N,Y,"Day_Activities",N,,,,
"Day_Activities_Activity_FK",31E4B5D6-6DBA-DE00-BBB2-FFC15FF6BF2E,131,,DDE31130-F780-4FDC-0EC9-19709E82D46B,73,Foreign Key,,N,Y,"Day_Activities",N,,,,
"Customer_Package_PK",A5448B8D-5D96-E205-5E15-763B7435E6E8,132,,EE66333F-C681-67E6-B5A6-61BB3CB6CF70,72,Primary Constraint,,N,Y,"Customer_Package",N,,,,
"Customer_Package_Customer_FK",C20FD3BC-2CBB-C70C-80AE-5F407CCA5E69,133,,EE66333F-C681-67E6-B5A6-61BB3CB6CF70,72,Foreign Key,,N,Y,"Customer_Package",N,,,,
"Customer_Package_Packages_FK",713C162A-38DA-00A0-52BA-3454AAB6F741,134,,EE66333F-C681-67E6-B5A6-61BB3CB6CF70,72,Foreign Key,,N,Y,"Customer_Package",N,,,,
