Table_Name,ObjectID,NumOID,ImportID,ModelID,Num_ModelID,Structured_Type_ID,Num_Structured_Type_ID,Structured_Type_Name,Number_Data_Elements,Classification_Type,Allow_Type_Substitution,Min_Volume,Expected_Volume,Max_Volume,Growth_Rate_Percents,Growth_Rate_Interval,Normal_Form,Temporary_Object_Scope,Adequately_Normalized,Substitution_Parent,Num_Substitution_Parent,Engineer,Spatial_Table,OID_is_PK,OID_is_User_Defined,Include_Scripts_Into_DDL
"Activity",20058712-A8C5-7441-6887-2EDD4F04ABF2,70,,CBAF4DAD-175E-FCBD-25B6-662158AD20C9,69,,,,2,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
"Customer",A64F1BE2-BA7F-A712-AFB4-5CA123A77F91,71,,CBAF4DAD-175E-FCBD-25B6-662158AD20C9,69,,,,5,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
"Customer_Package",EE66333F-C681-67E6-B5A6-61BB3CB6CF70,72,,CBAF4DAD-175E-FCBD-25B6-662158AD20C9,69,,,,2,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
"Day_Activities",DDE31130-F780-4FDC-0EC9-19709E82D46B,73,,CBAF4DAD-175E-FCBD-25B6-662158AD20C9,69,,,,4,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
"Destination",B10D0E95-8520-1810-7982-09E19B4FC946,74,,CBAF4DAD-175E-FCBD-25B6-662158AD20C9,69,,,,2,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
"Itinerary",D54A94E8-0830-3905-3268-1ECC14773FD6,75,,CBAF4DAD-175E-FCBD-25B6-662158AD20C9,69,,,,5,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
"Package_Guide",DA3F0025-662B-1C52-8434-4E8CAA99BDDB,76,,CBAF4DAD-175E-FCBD-25B6-662158AD20C9,69,,,,2,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
"Packages",78738502-EB23-35BC-D723-F05047915B97,77,,CBAF4DAD-175E-FCBD-25B6-662158AD20C9,69,,,,6,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
"Role",351409CE-4435-1D63-CB79-8A384A3A4F20,78,,CBAF4DAD-175E-FCBD-25B6-662158AD20C9,69,,,,2,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
"Staff",5B40D33A-33F4-B0BC-020F-34C3369FC245,79,,CBAF4DAD-175E-FCBD-25B6-662158AD20C9,69,,,,6,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
